player_id,weights,Player Name,Market Value (mln €)
4747.0,0.1,Divock Okoth Origi,51.0
4751.0,-0.3,Michael Carrick,36.5
4763.0,-0.5,Henrik Dalsgaard,28.3
4767.0,0.0,Chris Mepham,48.3
4774.0,-0.1,Connor Roberts,44.7
4788.0,-0.2,Jesús Gámez Duarte,38.8
4809.0,0.0,Matěj Vydra,47.3
4826.0,-0.2,Yohan Benalouane,40.0
4831.0,-0.2,Nacer Chadli,41.2
4870.0,-0.2,Tomáš Souček,38.9
4872.0,0.0,Eduard Sobol,47.0
4875.0,-0.3,Jan Bořil,36.0
4891.0,0.0,Ibrahim Afellay,47.3
4909.0,0.1,Jeremie Boga,48.8
4913.0,-0.0,Bojan Krkíc Pérez,45.5
4926.0,-0.1,Francisco Román Alarcón Suárez,43.3
4934.0,-0.0,Ethan Ampadu,45.8
5170.0,-0.2,Mário Figueira Fernandes,41.3
5171.0,-0.2,Roman Zobnin,39.4
5173.0,-0.1,Abdullah Ibrahim Otayf,44.3
5174.0,-0.1,Sergei Ignashevich,44.8
5175.0,-0.2,Ilya Kutepov,39.9
5176.0,0.0,Mohanad Aseri Abu Radiah,47.6
5177.0,-0.2,Aleksandr Golovin,39.2
5178.0,-0.4,Salman Mohammed Al Faraj,32.5
5179.0,-0.2,Daler Kuzyaev,40.0
5180.0,-0.1,Alan Dzagoev,45.1
5181.0,-0.2,Yury Gazinskiy,41.8
5182.0,-0.3,Aleksandr Samedov,38.4
5183.0,-0.3,Yasir Gharsan Al Shahrani,37.0
5184.0,-0.2,Osama Abdulrezag Hawsawi,41.0
5185.0,-0.1,Taisir Jabir Al Jassim,42.1
5186.0,-0.1,Denis Cheryshev,44.9
5187.0,0.2,Salem Mohammed Al Dawsari,53.2
5188.0,-0.2,Hattan Babhir,40.6
5190.0,0.2,Fahad Mosaed Al Muwallad Al Harbi,54.7
5191.0,-0.5,Mohammed Al Burayk,29.9
5192.0,-0.1,Yehya Sulaiman Ali Al-Shehri,43.1
5193.0,-0.2,Yuri Zhirkov,40.1
5194.0,0.0,Fyodor Smolov,48.6
5195.0,0.4,Artem Dzyuba,59.8
5196.0,0.1,Mohammad Ibrahim Al Sahlawi,50.8
5197.0,-0.3,Omar Ibrahim Omar Othman Hawsawi,37.5
5198.0,-0.1,Diego da Silva Costa,44.1
5199.0,-0.2,Jorge Resurrección Merodio,40.7
5200.0,-0.1,Lucas Vázquez Iglesias,42.3
5201.0,0.0,Sergio Ramos García,48.1
5202.0,-0.2,José Ignacio Fernández Iglesias,40.3
5203.0,-0.1,Sergio Busquets i Burgos,44.0
5204.0,-0.2,Bruno Miguel Borges Fernandes,39.2
5206.0,-0.2,Rúben Santos Gato Alves Dias,41.5
5207.0,0.3,Cristiano Ronaldo dos Santos Aveiro,56.1
5208.0,0.0,Thiago Alcântara do Nascimento,47.1
5209.0,-0.3,Raphaël Adelino José Guerreiro,38.1
5211.0,-0.7,Jordi Alba Ramos,24.5
5213.0,0.0,Gerard Piqué Bernabéu,47.5
5214.0,-0.1,William Silva de Carvalho,44.0
5215.0,-0.6,Ricardo Andrade Quaresma Bernardo,27.6
5216.0,-0.2,Andrés Iniesta Luján,41.7
5217.0,0.1,Iago Aspas Juncal,50.6
5218.0,-0.0,André Miguel Valente Silva,46.9
5219.0,-0.2,Romain Saïss,41.3
5220.0,-0.1,Morteza Pouraliganji,42.6
5221.0,-0.3,Manuel Marouan da Costa Trinidade,36.2
5222.0,-0.1,Roozbeh Cheshmi,42.1
5223.0,0.0,Aziz Bouhaddouz,47.6
5224.0,0.1,Sardar Azmoun,50.4
5225.0,-0.2,Omid Ebrahimi,40.0
5226.0,-0.1,Mehdi Taremi,43.1
5228.0,-0.1,Seyed Majid Hosseini,42.0
5229.0,0.1,Ayoub El Kaabi,51.5
5230.0,-0.3,Ehsan Hajsafi,37.8
